AgeGeneration,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHomeCategory,Education,EducationField,EmployeeEngagementScore,EmployeeId,ExperiencePriorToCurrentJob,Gender,HourlyRate,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceSatisfactionIndex,StockOptionLevel,TrainingTimesLastYear,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
Millennials,0,Non-Travel,301,Sales,Medium Distance,Master,Marketing,Good,376,Junior,Male,88,Junior Supervisor,Sales Executive,Divorced,5406,10436,1,No,24,High,1,4,12,11,11
Millennials,0,Travel_Rarely,204,Sales,Medium Distance,Bachelor,Technical Degree,Better,377,Junior,Female,31,Staff,Sales Representative,Divorced,2579,2912,1,Yes,18,High,2,3,2,0,6
Gen Y,0,Travel_Rarely,557,Research & Development,Medium Distance,Master,Life Sciences,Good,378,Junior,Male,35,Junior Supervisor,Research Scientist,Divorced,5410,11189,6,Yes,17,Medium,1,3,3,1,2
Millennials,0,Travel_Rarely,665,Research & Development,Short Distance,Master,Other,Better,379,Junior,Female,41,Junior Supervisor,Research Scientist,Single,4809,12482,1,No,14,Medium,0,3,13,2,10
Gen X,0,Travel_Rarely,370,Research & Development,Short Distance,Master,Medical,Better,380,Senior,Male,92,Senior Supervisor,Healthcare Representative,Divorced,10883,20467,3,No,20,High,1,2,0,0,0
Millennials,0,Travel_Rarely,1383,Human Resources,Short Distance,Bachelor,Life Sciences,Good,381,Mid-level,Female,42,Junior Supervisor,Human Resources,Married,5204,7790,8,No,11,High,2,2,4,0,4
Gen Y,0,Travel_Rarely,549,Research & Development,Short Distance,Master,Other,Better,382,Junior,Male,75,Junior Supervisor,Research Scientist,Married,3697,9278,9,No,14,High,2,3,9,9,8
Gen Z,0,Non-Travel,786,Research & Development,Short Distance,Bachelor,Medical,Better,383,Junior,Male,76,Staff,Laboratory Technician,Single,2570,11925,1,No,20,High,0,5,7,5,7
Gen X,0,Travel_Rarely,1443,Sales,Medium Distance,Doctor,Marketing,Good,384,Mid-level,Female,89,Junior Supervisor,Sales Executive,Married,5380,20328,4,No,16,Medium,1,3,0,0,0
Millennials,1,Travel_Frequently,307,Research & Development,Long Distance,College,Medical,Better,385,Junior,Male,71,Staff,Laboratory Technician,Single,3479,11652,0,No,11,Medium,0,2,4,1,4
Millennials,0,Travel_Rarely,1035,Sales,Short Distance,Master,Life Sciences,Better,386,Senior,Male,42,Junior Supervisor,Sales Executive,Single,6861,4981,8,Yes,12,High,0,1,0,0,0
Millennials,0,Travel_Rarely,750,Research & Development,Long Distance,Bachelor,Life Sciences,Better,387,Junior,Male,46,Junior Supervisor,Laboratory Technician,Married,3407,25348,1,No,17,High,2,3,9,6,8
Millennials,0,Travel_Frequently,1327,Research & Development,Short Distance,Master,Medical,Better,388,Mid-level,Male,73,Senior Supervisor,Research Director,Divorced,13675,13523,9,No,12,Medium,1,3,2,2,2
Gen Z,0,Travel_Rarely,991,Research & Development,Short Distance,Bachelor,Life Sciences,Better,389,Junior,Female,71,Staff,Laboratory Technician,Married,2659,17759,1,Yes,13,High,1,2,2,0,2
Millennials,0,Travel_Rarely,723,Sales,Short Distance,Master,Marketing,Good,390,Senior,Female,77,Junior Supervisor,Sales Representative,Married,5405,4244,2,Yes,20,Medium,2,4,2,0,3
Gen Z,0,Travel_Rarely,1138,Research & Development,Short Distance,Bachelor,Technical Degree,Good,391,Junior,Female,48,Junior Supervisor,Laboratory Technician,Married,4627,23631,0,No,12,Medium,1,6,2,6,7
Gen Y,0,Travel_Rarely,796,Sales,Short Distance,Below College,Marketing,Better,392,Junior,Female,81,Senior Supervisor,Sales Executive,Divorced,10447,26458,0,Yes,13,High,1,3,14,13,5
Millennials,0,Travel_Rarely,943,Research & Development,Short Distance,Bachelor,Life Sciences,Good,393,Junior,Male,86,Senior Supervisor,Healthcare Representative,Divorced,8500,5494,0,No,11,Very High,1,0,7,1,6
Millennials,0,Travel_Rarely,735,Research & Development,Short Distance,Below College,Life Sciences,Better,394,Junior,Male,66,Staff,Research Scientist,Married,3506,6020,0,Yes,14,High,0,3,2,2,2
Gen Z,0,Travel_Rarely,1240,Research & Development,Short Distance,Master,Life Sciences,Better,395,Junior,Female,33,Staff,Laboratory Technician,Divorced,2341,19715,1,No,13,High,1,6,0,0,0
Millennials,0,Travel_Rarely,722,Sales,Long Distance,Below College,Marketing,Good,396,Junior,Female,60,Junior Manager,Sales Executive,Married,12031,8828,0,No,11,Medium,1,2,9,9,6
Gen X,0,Travel_Rarely,1162,Research & Development,Long Distance,College,Life Sciences,Better,397,Junior,Male,97,Staff,Laboratory Technician,Single,2587,10261,1,No,16,High,0,3,2,1,0
Millennials,0,Travel_Rarely,1373,Research & Development,Short Distance,Master,Life Sciences,Better,398,Mid-level,Male,56,Junior Supervisor,Manufacturing Director,Single,9679,10138,8,No,24,High,0,1,0,0,0
Millennials,0,Travel_Rarely,691,Research & Development,Short Distance,Master,Technical Degree,Better,399,Junior,Male,86,Staff,Research Scientist,Married,4821,10077,0,Yes,12,High,1,4,2,0,3
Millennials,0,Travel_Frequently,443,Research & Development,Short Distance,Below College,Life Sciences,Better,400,Junior,Female,48,Staff,Laboratory Technician,Married,3755,17872,1,No,11,Medium,1,3,3,0,7
Gen Z,0,Travel_Rarely,1252,Research & Development,Long Distance,College,Life Sciences,Better,401,Junior,Male,81,Staff,Research Scientist,Married,2700,23779,1,No,24,High,1,3,7,0,7
Millennials,0,Non-Travel,775,Research & Development,Short Distance,Bachelor,Technical Degree,Good,402,Junior,Male,90,Junior Supervisor,Research Scientist,Divorced,3055,6194,5,No,15,High,2,2,8,1,7
Gen Z,1,Travel_Rarely,121,Sales,Long Distance,Bachelor,Marketing,Better,403,Junior,Female,35,Senior Supervisor,Sales Executive,Married,7639,24525,1,No,22,High,3,3,4,1,9
Gen Y,1,Travel_Rarely,935,Research & Development,Short Distance,Bachelor,Life Sciences,Better,404,Mid-level,Male,89,Staff,Laboratory Technician,Married,2362,14669,4,No,12,Low,0,4,2,1,2
Gen Z,0,Travel_Rarely,841,Research & Development,Short Distance,Bachelor,Other,Good,405,Junior,Female,46,Staff,Research Scientist,Married,2368,23300,1,No,19,Medium,0,3,4,4,3
Gen Y,0,Travel_Rarely,163,Sales,Short Distance,Doctor,Marketing,Better,406,Junior,Female,37,Junior Supervisor,Sales Executive,Married,4051,19658,2,No,14,Medium,1,2,7,6,7
Millennials,0,Travel_Rarely,364,Research & Development,Short Distance,Doctor,Technical Degree,Better,407,Senior,Female,32,Junior Supervisor,Research Scientist,Single,4317,2302,3,Yes,20,High,0,2,2,2,2
Millennials,0,Travel_Rarely,335,Sales,Medium Distance,College,Marketing,Good,408,Mid-level,Male,33,Junior Supervisor,Sales Executive,Married,5507,16822,2,No,16,Medium,2,1,2,1,3
Gen Z,1,Travel_Rarely,1243,Research & Development,Short Distance,Bachelor,Life Sciences,Better,409,Junior,Male,63,Staff,Laboratory Technician,Married,1601,3445,1,Yes,21,Medium,2,2,0,0,0
Gen Z,0,Travel_Rarely,1378,Research & Development,Medium Distance,College,Other,Good,410,Mid-level,Male,46,Junior Supervisor,Laboratory Technician,Married,4025,23679,4,Yes,13,Medium,1,2,3,0,3
Gen Y,0,Travel_Rarely,939,Research & Development,Long Distance,Bachelor,Life Sciences,Better,411,Mid-level,Male,95,Junior Manager,Manufacturing Director,Married,13973,4161,3,Yes,18,High,1,2,11,1,5
Millennials,0,Travel_Rarely,1189,Sales,Short Distance,Bachelor,Life Sciences,Better,412,Mid-level,Male,87,Senior Supervisor,Sales Executive,Single,7428,14506,2,No,12,Medium,0,3,3,1,3
Gen Z,0,Travel_Rarely,771,Research & Development,Short Distance,College,Life Sciences,Good,413,Junior,Male,45,Junior Supervisor,Healthcare Representative,Single,4617,14120,1,No,12,Medium,0,2,3,1,2
Millennials,0,Travel_Rarely,1398,Human Resources,Short Distance,College,Medical,Better,414,Junior,Female,96,Staff,Human Resources,Single,2109,24609,9,No,18,High,0,3,2,0,2
Gen Y,1,Travel_Rarely,1184,Sales,Medium Distance,Bachelor,Marketing,Better,415,Junior,Female,43,Senior Supervisor,Sales Executive,Married,7654,5860,1,No,18,Medium,2,3,8,7,7
Millennials,0,Travel_Frequently,135,Research & Development,Medium Distance,Bachelor,Medical,Better,416,Junior,Female,46,Junior Supervisor,Laboratory Technician,Divorced,4444,22534,4,No,13,Medium,2,2,8,5,10
Gen Y,1,Travel_Rarely,1102,Sales,Short Distance,College,Life Sciences,Good,417,Junior,Female,94,Junior Supervisor,Sales Executive,Single,5993,19479,8,Yes,11,Medium,0,0,4,0,5
Millennials,0,Travel_Rarely,970,Research & Development,Short Distance,College,Medical,Better,418,Junior,Female,96,Junior Supervisor,Healthcare Representative,Single,6142,7360,3,No,11,High,0,2,1,4,3
Millennials,0,Travel_Frequently,505,Research & Development,Short Distance,Master,Technical Degree,Better,419,Junior,Female,64,Senior Supervisor,Healthcare Representative,Single,10938,6420,0,No,25,High,0,1,6,11,8
Millennials,1,Travel_Frequently,1125,Research & Development,Medium Distance,Below College,Life Sciences,Good,420,Junior,Female,72,Staff,Research Scientist,Single,3919,4681,1,Yes,22,Low,0,5,2,6,7
Millennials,0,Travel_Frequently,889,Research & Development,Short Distance,Bachelor,Medical,Good,421,Junior,Male,53,Staff,Research Scientist,Married,2326,11411,1,Yes,12,High,3,3,2,1,2
Gen Z,1,Travel_Rarely,138,Research & Development,Long Distance,Bachelor,Life Sciences,Better,422,Junior,Female,48,Staff,Research Scientist,Married,2132,11539,4,Yes,11,Medium,0,2,2,0,1
Gen Y,0,Travel_Rarely,1001,Research & Development,Short Distance,Bachelor,Life Sciences,Good,423,Mid-level,Female,92,Senior Supervisor,Manufacturing Director,Divorced,10333,19271,8,Yes,12,Medium,1,4,11,14,10
Gen X,0,Travel_Rarely,452,Research & Development,Short Distance,Bachelor,Medical,Better,424,Junior,Male,81,Senior Manager,Manager,Single,19045,18938,0,Yes,14,Medium,0,2,10,4,13
Millennials,0,Travel_Rarely,1225,Research & Development,Short Distance,College,Life Sciences,Better,425,Junior,Male,80,Staff,Research Scientist,Single,4680,15232,3,No,17,High,0,2,0,0,0
Millennials,0,Travel_Rarely,619,Sales,Short Distance,Bachelor,Marketing,Better,426,Junior,Male,85,Junior Supervisor,Sales Executive,Married,4717,18659,9,No,11,Medium,0,2,9,6,9
Gen Y,0,Travel_Frequently,638,Research & Development,Short Distance,Bachelor,Medical,Good,427,Senior,Male,40,Senior Supervisor,Healthcare Representative,Married,10673,3142,2,Yes,13,Medium,1,5,9,9,5
Gen Z,0,Travel_Rarely,1082,Research & Development,Short Distance,Master,Medical,Better,428,Junior,Female,43,Staff,Laboratory Technician,Married,2974,25412,9,No,17,High,1,2,3,1,2
Millennials,0,Travel_Rarely,922,Research & Development,Short Distance,College,Life Sciences,Better,429,Mid-level,Female,39,Staff,Laboratory Technician,Divorced,2835,2561,5,No,22,Medium,1,2,0,0,0
Gen Z,0,Non-Travel,1269,Research & Development,Short Distance,Below College,Life Sciences,Good,430,Junior,Male,46,Staff,Laboratory Technician,Married,3162,10778,0,No,17,High,0,2,2,3,4
Gen Y,0,Travel_Rarely,1464,Research & Development,Short Distance,Master,Medical,Good,431,Expert,Male,62,Senior Manager,Research Director,Married,19237,12853,2,Yes,11,High,1,2,1,7,7
Millennials,0,Non-Travel,1184,Research & Development,Short Distance,Bachelor,Life Sciences,Better,432,Junior,Female,70,Staff,Laboratory Technician,Married,2332,3974,6,No,20,Medium,0,3,0,0,2
Millennials,0,Travel_Rarely,121,Research & Development,Short Distance,Master,Medical,Good,433,Junior,Female,86,Staff,Research Scientist,Single,4381,7530,1,No,11,Medium,0,3,5,1,3
Gen Z,0,Travel_Rarely,652,Research & Development,Short Distance,Bachelor,Other,Better,434,Junior,Male,100,Staff,Laboratory Technician,Single,3578,23577,0,No,12,Medium,0,2,7,0,7
Millennials,0,Travel_Frequently,1141,Sales,Short Distance,Bachelor,Life Sciences,Better,435,Junior,Female,42,Junior Supervisor,Sales Executive,Married,5376,3193,2,No,19,Low,2,3,3,1,3
Gen Y,0,Travel_Rarely,1108,Research & Development,Medium Distance,Master,Other,Good,436,Junior,Female,65,Staff,Research Scientist,Married,2367,16530,8,No,12,Medium,1,3,2,7,6
Millennials,0,Travel_Frequently,1199,Research & Development,Medium Distance,Master,Life Sciences,Better,437,Junior,Male,80,Junior Supervisor,Healthcare Representative,Married,5689,24594,1,Yes,14,High,2,2,2,0,2
Millennials,0,Travel_Frequently,1391,Research & Development,Short Distance,Below College,Medical,Good,438,Junior,Male,66,Staff,Research Scientist,Married,2684,12127,0,No,17,Medium,1,0,1,0,2
Millennials,0,Travel_Rarely,1462,Research & Development,Medium Distance,Bachelor,Medical,Better,439,Junior,Female,94,Staff,Laboratory Technician,Single,3629,19106,4,No,18,Low,0,6,2,0,2
Millennials,0,Travel_Rarely,1276,Research & Development,Medium Distance,Bachelor,Life Sciences,Better,440,Junior,Male,72,Senior Supervisor,Healthcare Representative,Married,7632,14295,4,Yes,12,High,0,2,7,0,0
Millennials,0,Travel_Rarely,128,Research & Development,Short Distance,Below College,Technical Degree,Good,441,Junior,Male,84,Junior Supervisor,Laboratory Technician,Single,2176,19737,4,No,13,High,0,5,2,0,4
Millennials,0,Travel_Frequently,240,Research & Development,Short Distance,Master,Life Sciences,Better,442,Junior,Female,75,Junior Supervisor,Manufacturing Director,Single,5980,26085,6,Yes,12,Medium,0,2,7,4,12
Millennials,0,Travel_Rarely,117,Research & Development,Short Distance,Below College,Medical,Better,443,Junior,Male,99,Junior Manager,Manager,Married,17068,5355,1,Yes,14,Medium,0,3,9,11,10
Millennials,0,Travel_Rarely,117,Research & Development,Short Distance,Bachelor,Medical,Better,444,Junior,Male,60,Staff,Research Scientist,Married,2781,6311,0,No,13,Medium,1,5,10,4,10
Millennials,0,Travel_Rarely,511,Sales,Short Distance,College,Life Sciences,Good,445,Junior,Female,32,Junior Supervisor,Sales Executive,Single,6029,25353,5,No,12,High,0,3,2,2,2
Gen X,0,Travel_Rarely,326,Sales,Short Distance,Bachelor,Life Sciences,Good,446,Mid-level,Female,48,Junior Supervisor,Sales Executive,Single,5171,16490,5,No,17,High,0,2,1,0,5
Millennials,0,Travel_Rarely,928,Sales,Short Distance,College,Life Sciences,Good,447,Junior,Male,56,Junior Supervisor,Sales Executive,Married,6201,2823,1,Yes,14,High,1,1,14,4,11
Millennials,0,Travel_Frequently,663,Research & Development,Medium Distance,Bachelor,Other,Better,448,Junior,Male,47,Senior Supervisor,Research Director,Divorced,12185,10056,1,Yes,14,High,3,1,8,0,7
Millennials,0,Travel_Rarely,1079,Sales,Medium Distance,Master,Marketing,Better,449,Mid-level,Male,70,Senior Supervisor,Sales Executive,Married,8161,19002,2,No,13,Low,3,2,0,0,0
Gen Z,0,Travel_Rarely,1117,Research & Development,Short Distance,College,Life Sciences,Better,450,Junior,Female,66,Staff,Research Scientist,Single,3310,4488,1,No,21,Very High,0,3,3,0,2
Gen Y,0,Travel_Rarely,1245,Research & Development,Medium Distance,Master,Life Sciences,Good,451,Junior,Male,58,Senior Manager,Research Director,Divorced,19502,2125,1,Yes,17,High,1,5,9,0,9
Millennials,0,Travel_Rarely,254,Research & Development,Short Distance,College,Life Sciences,Good,452,Junior,Male,83,Staff,Research Scientist,Married,3622,22794,1,Yes,13,High,1,3,5,1,3
Millennials,0,Non-Travel,894,Research & Development,Short Distance,Master,Medical,Good,453,Junior,Female,33,Junior Supervisor,Manufacturing Director,Married,4374,15411,0,No,15,High,0,6,2,1,2
Gen X,0,Travel_Rarely,1395,Research & Development,Long Distance,Master,Medical,Better,454,Mid-level,Male,48,Senior Supervisor,Healthcare Representative,Married,7005,3458,3,No,15,High,0,2,3,1,2
Gen Y,0,Travel_Frequently,708,Sales,Short Distance,College,Medical,Better,455,Mid-level,Female,95,Staff,Sales Representative,Married,2655,11740,2,Yes,11,High,2,3,7,7,7
Millennials,1,Travel_Rarely,1204,Sales,Short Distance,Bachelor,Technical Degree,Better,456,Junior,Male,86,Senior Supervisor,Sales Executive,Single,9582,10333,0,Yes,22,Medium,0,2,7,4,7
Gen Z,0,Travel_Frequently,994,Sales,Short Distance,Bachelor,Life Sciences,Better,457,Junior,Male,37,Senior Supervisor,Sales Executive,Single,8726,2975,1,No,15,High,0,0,8,1,7
Gen Y,0,Travel_Rarely,1355,Research & Development,Short Distance,Master,Life Sciences,Good,458,Senior,Male,78,Senior Supervisor,Healthcare Representative,Single,10999,22245,7,No,14,Medium,0,3,11,4,8
Gen Y,0,Travel_Rarely,933,Research & Development,Short Distance,Master,Life Sciences,Better,459,Junior,Male,94,Staff,Laboratory Technician,Married,2238,6961,2,No,21,Medium,1,2,0,1,4
Millennials,0,Travel_Frequently,469,Research & Development,Short Distance,Bachelor,Technical Degree,Good,460,Junior,Male,46,Staff,Research Scientist,Married,3692,9256,1,No,12,Medium,0,2,10,0,7
Millennials,0,Non-Travel,1151,Research & Development,Short Distance,Doctor,Life Sciences,Good,461,Junior,Male,63,Junior Supervisor,Healthcare Representative,Married,4876,14242,9,No,14,Very High,1,5,2,0,2
Gen Y,0,Travel_Rarely,464,Research & Development,Medium Distance,Bachelor,Medical,Good,462,Senior,Female,74,Staff,Laboratory Technician,Divorced,2587,24941,4,Yes,16,Medium,1,2,2,2,2
Millennials,0,Travel_Rarely,746,Research & Development,Short Distance,Master,Life Sciences,Better,463,Junior,Female,61,Junior Supervisor,Manufacturing Director,Single,4424,20682,1,No,23,High,0,2,7,1,8
Gen Z,1,Travel_Rarely,1362,Research & Development,Short Distance,Below College,Medical,Better,464,Junior,Male,32,Staff,Research Scientist,Single,1009,26999,1,Yes,11,High,0,5,0,1,1
Millennials,0,Travel_Rarely,370,Research & Development,Short Distance,Master,Medical,Good,465,Junior,Male,58,Junior Supervisor,Manufacturing Director,Single,4213,4992,1,No,15,Medium,0,4,3,0,8
Millennials,1,Travel_Rarely,318,Research & Development,Short Distance,Bachelor,Medical,Good,466,Junior,Male,79,Staff,Research Scientist,Married,3388,21777,0,Yes,17,Medium,1,0,0,0,0
Millennials,0,Travel_Rarely,369,Research & Development,Short Distance,College,Life Sciences,Better,467,Senior,Female,92,Junior Supervisor,Manufacturing Director,Married,6516,5041,2,Yes,16,Low,1,3,0,0,0
Millennials,0,Travel_Frequently,944,Sales,Short Distance,Bachelor,Marketing,Better,468,Junior,Female,92,Senior Supervisor,Sales Executive,Single,8789,9096,1,No,14,Medium,0,3,7,0,8
Gen Z,0,Travel_Rarely,1206,Research & Development,Medium Distance,Below College,Medical,Good,469,Junior,Female,41,Junior Supervisor,Manufacturing Director,Divorced,4377,24117,1,No,15,High,2,6,2,3,2
Gen Z,0,Travel_Rarely,373,Research & Development,Short Distance,College,Life Sciences,Better,470,Junior,Male,47,Staff,Research Scientist,Married,1223,16901,1,No,22,High,1,2,0,0,1
Gen Z,0,Travel_Rarely,1476,Research & Development,Medium Distance,College,Medical,Better,471,Junior,Male,68,Junior Supervisor,Healthcare Representative,Single,5661,4824,0,No,19,Medium,0,2,3,0,7
Gen X,0,Travel_Rarely,1179,Sales,Medium Distance,Master,Marketing,Better,472,Mid-level,Male,84,Junior Supervisor,Sales Executive,Single,5405,11924,8,No,14,Medium,0,1,2,2,2
Gen Y,0,Travel_Frequently,1379,Research & Development,Medium Distance,Master,Medical,Better,473,Junior,Male,64,Junior Supervisor,Manufacturing Director,Divorced,5067,6759,1,Yes,19,High,0,3,10,2,7
Gen Y,0,Travel_Rarely,427,Human Resources,Short Distance,Master,Human Resources,Good,474,Junior,Male,73,Senior Manager,Manager,Divorced,19141,8861,3,No,15,Medium,3,2,6,12,6
Gen Z,0,Travel_Rarely,477,Research & Development,Long Distance,Bachelor,Medical,Better,475,Junior,Male,49,Staff,Laboratory Technician,Single,3597,6409,8,No,22,High,0,2,3,1,2
Gen Z,0,Travel_Rarely,1086,Research & Development,Short Distance,Below College,Medical,Good,476,Junior,Female,62,Staff,Laboratory Technician,Divorced,2532,6054,6,No,14,Medium,3,5,3,0,3
Millennials,1,Travel_Frequently,504,Research & Development,Short Distance,Bachelor,Medical,Better,477,Senior,Male,61,Senior Supervisor,Manufacturing Director,Divorced,10048,22573,6,No,11,Medium,2,5,0,0,0
Millennials,0,Travel_Rarely,737,Sales,Short Distance,Bachelor,Medical,Good,478,Junior,Male,55,Senior Supervisor,Sales Executive,Married,10306,21530,9,No,17,Medium,0,3,12,6,0
Gen Z,0,Travel_Rarely,468,Research & Development,Long Distance,Master,Medical,Good,479,Junior,Female,73,Staff,Research Scientist,Single,3785,8489,1,No,14,Medium,0,3,4,0,4
Gen X,0,Travel_Frequently,135,Research & Development,Medium Distance,Master,Medical,Better,480,Mid-level,Male,62,Junior Supervisor,Healthcare Representative,Married,6385,12992,3,Yes,14,High,2,3,7,6,7
Gen Z,0,Travel_Rarely,852,Research & Development,Short Distance,Below College,Life Sciences,Good,481,Junior,Male,55,Junior Supervisor,Laboratory Technician,Married,5126,15998,1,Yes,12,High,2,1,8,3,0
Gen Y,0,Travel_Rarely,1128,Research & Development,Medium Distance,Bachelor,Medical,Better,482,Mid-level,Male,95,Junior Supervisor,Healthcare Representative,Married,5538,5696,5,No,18,Medium,2,2,0,0,0
Gen Z,0,Travel_Rarely,441,Research & Development,Short Distance,Below College,Other,Good,483,Junior,Female,39,Junior Supervisor,Healthcare Representative,Married,9715,7288,3,No,13,Medium,1,3,7,0,7
Gen Z,0,Travel_Rarely,703,Sales,Long Distance,College,Marketing,Better,484,Junior,Male,66,Junior Supervisor,Sales Executive,Married,6272,7428,1,No,20,Medium,2,5,3,1,4
Gen Z,1,Travel_Rarely,318,Research & Development,Short Distance,Master,Other,Good,485,Junior,Male,77,Staff,Laboratory Technician,Married,2119,4759,1,Yes,11,Medium,0,4,7,0,7
Gen Z,1,Travel_Rarely,688,Research & Development,Short Distance,Bachelor,Medical,Better,486,Junior,Male,91,Staff,Laboratory Technician,Married,4031,9396,5,No,13,Low,1,5,2,0,2
Millennials,0,Travel_Rarely,1495,Research & Development,Short Distance,College,Medical,Good,487,Mid-level,Female,87,Staff,Laboratory Technician,Married,3306,26176,7,No,19,High,1,5,0,0,0
Millennials,0,Travel_Rarely,1107,Research & Development,Medium Distance,Bachelor,Life Sciences,Good,488,Junior,Female,95,Staff,Laboratory Technician,Divorced,3034,26914,1,No,12,Medium,1,2,7,12,17
Millennials,0,Travel_Rarely,1278,Human Resources,Short Distance,Bachelor,Life Sciences,Better,489,Junior,Male,77,Staff,Human Resources,Married,2342,8635,0,No,21,Low,0,3,4,0,3
Gen Y,1,Non-Travel,906,Research & Development,Short Distance,College,Life Sciences,Good,490,Junior,Male,95,Staff,Research Scientist,Divorced,2107,20293,6,No,17,Low,1,2,0,0,0
Millennials,0,Travel_Rarely,1174,Sales,Short Distance,Master,Marketing,Better,491,Mid-level,Female,99,Junior Supervisor,Sales Executive,Single,9278,20763,3,Yes,16,Medium,0,3,4,0,1
Millennials,0,Travel_Rarely,1333,Research & Development,Short Distance,Bachelor,Technical Degree,Better,492,Junior,Female,80,Senior Supervisor,Research Director,Married,13582,16292,1,No,13,Medium,1,3,12,5,11
Gen Y,0,Travel_Rarely,465,Research & Development,Short Distance,Below College,Life Sciences,Good,493,Senior,Female,41,Junior Manager,Healthcare Representative,Married,13966,11652,2,Yes,19,Medium,1,3,11,2,12
Millennials,0,Travel_Rarely,362,Research & Development,Short Distance,Below College,Life Sciences,Good,494,Mid-level,Female,43,Staff,Research Scientist,Single,2619,14561,3,No,17,Medium,0,3,0,0,0
Gen X,0,Travel_Rarely,1318,Sales,Long Distance,Master,Marketing,Good,495,Mid-level,Female,66,Junior Manager,Manager,Married,16307,5594,2,No,14,Medium,1,2,6,4,17
Millennials,0,Travel_Rarely,1319,Research & Development,Short Distance,Bachelor,Medical,Better,496,Mid-level,Male,51,Junior Supervisor,Research Scientist,Divorced,5974,17001,4,Yes,13,Low,2,2,7,6,7
Gen Z,1,Travel_Frequently,871,Research & Development,Short Distance,Bachelor,Life Sciences,Good,497,Junior,Female,66,Staff,Laboratory Technician,Single,2926,19783,1,Yes,18,High,0,5,0,1,0
Gen Y,0,Travel_Rarely,974,Research & Development,Short Distance,Master,Medical,Better,498,Junior,Female,91,Staff,Laboratory Technician,Divorced,2270,11005,3,No,14,Very High,2,2,3,0,2
Gen Z,1,Travel_Rarely,984,Research & Development,Medium Distance,College,Life Sciences,Good,499,Junior,Female,97,Staff,Laboratory Technician,Married,2210,3372,1,No,13,Medium,1,3,0,0,0
Gen X,0,Travel_Rarely,956,Research & Development,Short Distance,College,Technical Degree,Better,500,Mid-level,Male,78,Junior Supervisor,Research Scientist,Divorced,5577,22087,3,Yes,12,Medium,2,3,9,6,9
Gen Y,0,Travel_Rarely,1261,Research & Development,Short Distance,Bachelor,Other,Better,501,Expert,Male,31,Senior Supervisor,Healthcare Representative,Single,10965,12066,8,No,24,Medium,0,2,2,0,0
Gen Z,0,Travel_Rarely,1320,Research & Development,Short Distance,Below College,Medical,Good,502,Junior,Male,93,Staff,Laboratory Technician,Single,3989,20586,1,Yes,11,Medium,0,2,4,1,2
Millennials,0,Non-Travel,1375,Sales,Short Distance,Bachelor,Life Sciences,Better,503,Junior,Male,87,Junior Supervisor,Sales Executive,Divorced,4001,12313,1,Yes,14,High,1,3,14,0,7
Gen Z,0,Travel_Rarely,1423,Research & Development,Short Distance,Bachelor,Life Sciences,Good,504,Junior,Male,72,Staff,Research Scientist,Divorced,1563,12530,1,No,14,Medium,1,2,0,0,0
Gen Z,1,Travel_Rarely,528,Sales,Long Distance,Below College,Marketing,Good,505,Junior,Male,50,Staff,Sales Representative,Single,1675,26820,1,Yes,19,High,0,2,0,0,0
Gen Y,0,Travel_Rarely,734,Research & Development,Short Distance,Master,Medical,Better,506,Expert,Male,46,Senior Manager,Research Director,Divorced,19328,14218,7,Yes,17,High,1,3,1,2,2
Gen Z,0,Non-Travel,673,Research & Development,Medium Distance,College,Other,Better,507,Junior,Female,96,Junior Supervisor,Manufacturing Director,Divorced,4011,8232,0,No,18,Medium,1,5,2,1,3
Gen Z,0,Travel_Rarely,604,Research & Development,Short Distance,Below College,Medical,Better,508,Junior,Male,69,Staff,Research Scientist,Married,2773,12145,0,No,20,Medium,0,3,2,2,2
Gen Y,0,Travel_Rarely,244,Human Resources,Short Distance,Bachelor,Life Sciences,Better,509,Junior,Male,97,Staff,Human Resources,Single,3539,5033,0,No,13,Medium,0,5,7,1,8
Gen Y,0,Travel_Frequently,570,Research & Development,Short Distance,Bachelor,Life Sciences,Good,510,Junior,Male,66,Senior Manager,Manager,Divorced,18430,16225,1,No,13,Medium,1,4,7,14,9
Millennials,0,Travel_Frequently,1392,Research & Development,Short Distance,Master,Life Sciences,Better,511,Junior,Female,56,Staff,Research Scientist,Married,2909,23159,1,Yes,11,High,0,3,7,3,0
Millennials,0,Travel_Rarely,1115,Research & Development,Short Distance,Master,Life Sciences,Better,512,Junior,Male,51,Junior Supervisor,Manufacturing Director,Divorced,5993,2689,1,No,18,Medium,1,2,5,0,7
Millennials,0,Travel_Frequently,1218,Research & Development,Short Distance,Below College,Life Sciences,Better,513,Junior,Male,52,Senior Manager,Manager,Divorced,19197,8213,1,Yes,14,Medium,1,3,8,1,6
Millennials,0,Travel_Frequently,607,Sales,Short Distance,Bachelor,Marketing,Better,514,Junior,Female,83,Junior Supervisor,Sales Executive,Married,4639,2261,2,No,16,Medium,1,2,7,6,13
Gen Y,0,Travel_Rarely,1046,Research & Development,Short Distance,Bachelor,Technical Degree,Good,515,Senior,Male,100,Senior Supervisor,Healthcare Representative,Single,10496,2755,6,No,15,Very High,0,2,3,1,3
